date (UTC)	so2_110
19.03.2016 3:45	0,147593333
19.03.2016 4:15	0,768533333
19.03.2016 4:45	0,116153333
19.03.2016 5:15	0
19.03.2016 5:45	0,468106667
19.03.2016 6:15	0,19126
19.03.2016 6:45	0,449766667
19.03.2016 7:15	0,34846
19.03.2016 7:45	0,494306667
19.03.2016 8:15	0,868093333
19.03.2016 8:45	0,09694
19.03.2016 9:15	0,455006667
19.03.2016 9:45	0,553693333
19.03.2016 10:15	0,80696
19.03.2016 10:45	0,025326667
19.03.2016 11:15	0,190386667
19.03.2016 11:45	0,124013333
19.03.2016 12:15	0,868966667
19.03.2016 12:45	0,44802
19.03.2016 13:15	0,850626667
19.03.2016 13:45	0,938833333
19.03.2016 14:15	0
19.03.2016 14:45	0,556313333
19.03.2016 15:15	0,658493333
19.03.2016 15:45	0,832286667
19.03.2016 16:15	1,615666667
19.03.2016 16:45	0,551073333
19.03.2016 17:15	1,753653333
19.03.2016 17:45	1,324846667
19.03.2016 18:15	0,59474
19.03.2016 18:45	0
19.03.2016 19:15	0,645393333
19.03.2016 19:45	0,48994
19.03.2016 20:15	0,713513333
19.03.2016 20:45	0
19.03.2016 21:15	0
19.03.2016 21:45	0
19.03.2016 22:15	1,827886667
19.03.2016 22:45	0,538846667
19.03.2016 23:15	0,50566
19.03.2016 23:45	0
20.03.2016 0:15	0
20.03.2016 0:45	0
20.03.2016 1:15	0
20.03.2016 1:45	0
20.03.2016 2:15	0
20.03.2016 2:45	0
20.03.2016 3:15	0
20.03.2016 3:45	0
20.03.2016 4:15	0
20.03.2016 4:45	0
20.03.2016 5:15	0
20.03.2016 5:45	0
20.03.2016 6:15	0
20.03.2016 6:45	0
20.03.2016 7:15	0
20.03.2016 7:45	0
20.03.2016 8:15	0
20.03.2016 8:45	0
20.03.2016 9:15	0
20.03.2016 9:45	0
20.03.2016 10:15	0
20.03.2016 10:45	0
20.03.2016 11:15	0
20.03.2016 11:45	0
20.03.2016 12:15	0
20.03.2016 12:45	0
20.03.2016 13:15	0
20.03.2016 13:45	0
20.03.2016 14:15	0
20.03.2016 14:45	0
20.03.2016 15:15	0
20.03.2016 15:45	0
20.03.2016 16:15	0
20.03.2016 16:45	0
20.03.2016 17:15	0
20.03.2016 17:45	0
20.03.2016 18:15	0
20.03.2016 18:45	0
20.03.2016 19:15	0
20.03.2016 19:45	0
20.03.2016 20:15	0
20.03.2016 20:45	0
20.03.2016 21:15	0
20.03.2016 21:45	0
20.03.2016 22:15	0
20.03.2016 22:45	0
20.03.2016 23:15	0
20.03.2016 23:45	0
21.03.2016 0:15	0
21.03.2016 0:45	0
21.03.2016 1:15	0
